,IMDB,Metascore,Name,Votes,Year,Metascore_10
243,5.7,41.0,Miss Bala,6980,2019,4.1
244,6.5,91.0,The Souvenir,6959,2019,9.1
245,7.1,66.0,The Inventor: Out for Blood in Silicon Valley,6873,2019,6.6
246,6.7,72.0,Luce,6806,2019,7.2
247,6.2,78.0,High Flying Bird,6770,2019,7.8
248,5.3,22.0,Killers Anonymous,6759,2019,2.2
249,5.3,35.0,Can You Keep a Secret?,6728,2019,3.5
250,6.1,51.0,Trolls World Tour,6633,2020,5.1
251,6.0,64.0,Come to Daddy,6559,2019,6.4
252,7.7,77.0,Boze Cialo,6557,2019,7.7
253,6.9,79.0,A Shaun the Sheep Movie: Farmageddon,6495,2019,7.9
254,4.4,21.0,Sextuplets,6354,2019,2.1
255,7.2,73.0,The Half of It,6310,2020,7.3
256,4.6,65.0,Girl on the Third Floor,6127,2019,6.5
257,6.2,42.0,My Spy,6036,2020,4.2
258,4.3,18.0,The Fanatic,6012,2019,1.8
259,8.5,89.0,For Sama,5966,2019,8.9
260,6.8,85.0,Atlantique,5946,2019,8.5
261,5.2,45.0,The Rhythm Section,5940,2020,4.5
262,7.9,68.0,And Then We Danced,5821,2019,6.8
263,6.5,67.0,The Willoughbys,5774,2020,6.7
264,5.9,51.0,The Kid,5757,2019,5.1
265,5.6,40.0,Cuck,5743,2019,4.0
266,7.9,90.0,Systemsprenger,5730,2019,9.0
267,6.3,65.0,Swallow,5727,2019,6.5
268,6.9,59.0,Troop Zero,5692,2019,5.9
269,6.6,65.0,Plus One,5638,2019,6.5
270,3.8,35.0,The Turning,5576,2020,3.5
271,7.1,64.0,Il traditore,5561,2019,6.4
272,7.2,67.0,Dronningen,5445,2019,6.7
273,4.4,33.0,Like a Boss,5392,2020,3.3
274,7.5,55.0,The Sky Is Pink,5357,2019,5.5
275,4.5,29.0,Brahms: The Boy II,5349,2020,2.9
276,7.5,75.0,La Belle Époque,5318,2019,7.5
277,6.9,65.0,Akinjeon,5295,2019,6.5
278,6.2,63.0,Villains,5227,2019,6.3
279,5.2,49.0,Dangerous Lies,5105,2020,4.9
280,5.6,34.0,American Son,5067,2019,3.4
281,4.6,30.0,The Poison Rose,4889,2019,3.0
282,5.4,42.0,Running with the Devil,4848,2019,4.2
283,6.2,53.0,Sergio,4711,2020,5.3
284,5.8,52.0,The Sun Is Also a Star,4703,2019,5.2
285,4.9,39.0,Uglydolls,4671,2019,3.9
286,7.1,84.0,Dylda,4647,2019,8.4
287,5.3,36.0,Daughter of the Wolf,4527,2019,3.6
